title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
Art Forms in Nature: The Prints of Ernst Haeckel (Monographs),,print,owned,,2008-11-04,,1,amazon-print,
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto [Paperback]  by Klosterma",,print,owned,,2008-03-14,,1,amazon-print,
"Love Is a Mix Tape: Life and Loss, One Song at a Time [Paperback]  by Sheffiel",,print,owned,,2008-03-14,,1,amazon-print,
"Dance for Two: Essays [Paperback]  by Lightman, Alan",Alan Lightman,print,owned,,2008-03-14,,1,amazon-print; shelf-photo,
Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas [Abridged.,,print,owned,,2008-03-14,,1,amazon-print,
"Thinking with Type: A Critical Guide for Designers, Writers, Editors, & Studen",,print,owned,,2008-01-27,,1,amazon-print,
Maps of the Imagination: The Writer as Cartographer,,print,owned,,2008-01-27,,1,amazon-print,
Collect Raindrops: The Seasons Gathered,,print,owned,,2008-01-27,,1,amazon-print,
Getting Started in Electronics,Forrest M. Mims III,print,owned,,2008-01-27,,1,amazon-print; shelf-photo,
The Business Side of Creativity: The Complete Guide to Running a Small Graphic,,print,owned,,2007-07-31,,1,amazon-print,
"Living Large in Small Spaces: Expressing Personal Style in 100 to 1,000 Square",,print,owned,,2007-05-30,,1,amazon-print,
Avid Xpress Pro for Windows and Macintosh (Visual QuickPro Guide) [Paperback..,,print,owned,,2005-11-10,,1,amazon-print,
"Mad, the Bad, and the Innocent, The : The Criminal Mind on Trial - Tales of a.",,print,owned,,2005-11-07,,1,amazon-print,
"Screenwriters Award-Winner Gift Set: The Shawshank Redemption, American Beauty",,print,owned,,2004-12-07,,1,amazon-print,
Eternal Sunshine of the Spotless Mind: The Shooting Script (Newmarket Shooting,,print,owned,,2004-12-07,,1,amazon-print,
Hotel Lachapelle: Photographs,,print,owned,,2002-09-23,,1,amazon-print,
"Water Dog [Hardcover]  by Smith, A.; Wolters, Richard A.",,print,owned,,2002-05-27,,1,amazon-print,
Graphic Artists Guild Handbook : Pricing & Ethical Guidelines (Graphic Artists,,print,owned,,2002-01-08,,1,amazon-print,
Flash 4 for Windows and Macintosh Visual Quickstart Guide [Paperback]  by...,,print,owned,,2001-08-30,,1,amazon-print,
Einstein's Dreams,Alan Lightman,print,owned,,2001-04-11,,1,amazon-print; shelf-photo,
Fireworks 2 for Windows and Macintosh Visual Quickstart Guide,,print,owned,,2000-10-30,,1,amazon-print,
 My Girl,,print,owned,,2000-10-20,,1,amazon-print,
"HTML 4 for the World Wide Web, Fourth Edition: Visual QuickStart Guide",,print,owned,,2000-03-22,,1,amazon-print,
The Cell,Life Science Library,print,owned,,,,0,shelf-photo,
Sound and Hearing,Life Science Library,print,owned,,,,0,shelf-photo,
Movements of Magic: The Spirit of T'ai-Chi-Ch'uan,Bob Klein,print,owned,,,,0,shelf-photo,
Practice Makes Perfect: Spanish Verb Tenses,Richmond,print,owned,,,,0,shelf-photo,
Understanding Comics,Scott McCloud,print,owned,,,,0,shelf-photo,
What Wild Women Do,Karma Brown,print,owned,,,,0,shelf-photo,
The Mapmaker's Wife,Robert Whitaker,print,owned,,,,0,shelf-photo,
The Last Spike,Pierre Berton,print,owned,,,,0,shelf-photo,
The Hero with a Thousand Faces,Joseph Campbell,print,owned,,,,0,shelf-photo,
The New Jim Crow,Michelle Alexander,print,owned,,,,0,shelf-photo,
Are You My Mother?,Alison Bechdel,print,owned,,,,0,shelf-photo,
West with Giraffes,Lynda Rutledge,print,owned,,,,0,shelf-photo,
Jitterbug Perfume,Tom Robbins,print,owned,,,,0,shelf-photo,
On Trails,Robert Moor,print,owned,,,,0,shelf-photo,
Heart of Darkness,Joseph Conrad,print,owned,,,,0,shelf-photo,
The Bhagavad Gita,,print,owned,,,,0,shelf-photo,
A Pin to See the Peepshow,F. Tennyson Jesse,print,owned,,,,0,shelf-photo,
Visual Intelligence: How We Create What We See,Donald D. Hoffman,print,owned,,,,0,shelf-photo,
Gray's Anatomy,,print,owned,,,,0,shelf-photo,
Atlas of Anatomy,,print,owned,,,,0,shelf-photo,
The Body,Bill Bryson,print,owned,,,,0,shelf-photo,
Anatomy of Hatha Yoga,David Coulter,print,owned,,,,0,shelf-photo,
Hollow Kingdom,Kira Jane Buxton,print,owned,,,,0,shelf-photo,
Life After Cars,"Goodyear, Gordon, Naparstek",print,owned,,,,0,shelf-photo,
Raspberry Pi: The Complete Manual,,print,owned,,,,0,shelf-photo,
Walt Disney's Treasury of Children's Classics,,print,owned,,,,0,shelf-photo,
